model,locale,name,script,script_type,old_score,new_score,norm_score,comparability,delta
mistralai/Mistral-Nemo-Base-2407,si,Sinhala,Sinh,abugida,0.0,0.2,,direct,0.2
mistralai/Mistral-Nemo-Base-2407,sid,Sidamo,Latn,alphabet,1.0,1.0,,direct,0.0
mistralai/Mistral-Nemo-Base-2407,sk,Slovak,Latn,alphabet,0.9535,0.9628,,direct,0.009299999999999975
mistralai/Mistral-Nemo-Base-2407,skr,skr,Arab,abjad,0.8571,0.8857,,direct,0.02860000000000007
mistralai/Mistral-Nemo-Base-2407,sl,Slovenian,Latn,alphabet,1.0,1.0,,direct,0.0
mistralai/Mistral-Nemo-Base-2407,sma,Southern Sami,Latn,alphabet,1.0,1.0,,direct,0.0
mistralai/Mistral-Nemo-Base-2407,smj,Lule Sami,Latn,alphabet,1.0,1.0,,direct,0.0
mistralai/Mistral-Nemo-Base-2407,smn,Inari Sami,Latn,alphabet,0.9677,0.9742,,direct,0.00649999999999995
mistralai/Mistral-Nemo-Base-2407,sms,Skolt Sami,Latn,alphabet,0.8333,0.8667,,direct,0.033399999999999985
mistralai/Mistral-Nemo-Base-2407,sn,Shona,Latn,alphabet,1.0,1.0,,direct,0.0
mistralai/Mistral-Nemo-Base-2407,so,Somali,Latn,alphabet,1.0,1.0,,direct,0.0
mistralai/Mistral-Nemo-Base-2407,sq,Albanian,Latn,alphabet,1.0,1.0,,direct,0.0
mistralai/Mistral-Nemo-Base-2407,sr,Serbian,Cyrl,alphabet,1.0,1.0,,direct,0.0
mistralai/Mistral-Nemo-Base-2407,ss,Swati,Latn,alphabet,1.0,1.0,,direct,0.0
mistralai/Mistral-Nemo-Base-2407,ssy,Saho,Latn,alphabet,1.0,1.0,,direct,0.0
mistralai/Mistral-Nemo-Base-2407,st,Southern Sotho,Latn,alphabet,1.0,1.0,,direct,0.0
mistralai/Mistral-Nemo-Base-2407,su,Sundanese,Latn,alphabet,1.0,1.0,,direct,0.0
mistralai/Mistral-Nemo-Base-2407,sv,Swedish,Latn,alphabet,1.0,1.0,,direct,0.0
mistralai/Mistral-Nemo-Base-2407,sw,Swahili,Latn,alphabet,1.0,1.0,,direct,0.0
mistralai/Mistral-Nemo-Base-2407,syr,Syriac,Syrc,abjad,0.0,0.2,,direct,0.2
mistralai/Mistral-Nemo-Base-2407,szl,Silesian,Latn,alphabet,0.9706,0.9765,,direct,0.005900000000000016
mistralai/Mistral-Nemo-Base-2407,ta,Tamil,Taml,abugida,0.8574,0.8745,,direct,0.017100000000000004
mistralai/Mistral-Nemo-Base-2407,te,Telugu,Telu,abugida,0.7043,0.7557,,direct,0.0514
mistralai/Mistral-Nemo-Base-2407,teo,Teso,Latn,alphabet,1.0,1.0,,direct,0.0
mistralai/Mistral-Nemo-Base-2407,tg,Tajik,Cyrl,alphabet,0.8857,0.9086,,direct,0.02289999999999992
mistralai/Mistral-Nemo-Base-2407,th,Thai,Thai,abugida,0.8493,0.8795,,direct,0.030199999999999894
mistralai/Mistral-Nemo-Base-2407,ti,Tigrinya,Ethi,syllabary,0.0,0.2,,within_script_only,0.2
mistralai/Mistral-Nemo-Base-2407,tig,Tigre,Ethi,syllabary,0.0,0.2,,within_script_only,0.2
mistralai/Mistral-Nemo-Base-2407,tk,Turkmen,Latn,alphabet,1.0,1.0,,direct,0.0
mistralai/Mistral-Nemo-Base-2407,tn,Tswana,Latn,alphabet,1.0,1.0,,direct,0.0
mistralai/Mistral-Nemo-Base-2407,to,Tongan,Latn,alphabet,1.0,1.0,,direct,0.0
mistralai/Mistral-Nemo-Base-2407,tok,Toki Pona,Latn,alphabet,1.0,1.0,,direct,0.0
mistralai/Mistral-Nemo-Base-2407,tpi,Tok Pisin,Latn,alphabet,1.0,1.0,,direct,0.0
mistralai/Mistral-Nemo-Base-2407,tr,Turkish,Latn,alphabet,1.0,1.0,,direct,0.0
mistralai/Mistral-Nemo-Base-2407,trv,Taroko,Latn,alphabet,1.0,1.0,,direct,0.0
